name,gender,birthyear,hpi,group
Hirohito,M,1901,85.3853786254153,28
Paracelsus,M,1493,85.37809376439084,23
Philip IV of France,M,1268,85.35631986817995,21
Friedrich Schiller,M,1759,85.3525544710078,26
Giacomo Puccini,M,1858,85.33775287862787,27
Xerxes I,M,-519,85.30799657444167,3
Eugène Delacroix,M,1798,85.30182778347664,26
Claude Debussy,M,1862,85.30157146137464,27
Igor Stravinsky,M,1882,85.30029993329563,27
Claudius,M,-10,85.2966753127222,8
14th Dalai Lama,M,1935,85.27028693230791,28
Plutarch,M,46,85.26846988360839,9
Daniel Defoe,M,1660,85.26595509532537,25
Al-Ghazali,M,1058,85.22428520999003,19
George Washington,M,1732,85.21383664694227,26
Howard Hughes,M,1905,85.20945511689239,28
Isabella I of Castile,F,1451,85.19079499340508,23
Euripides,M,-480,85.17843225765242,4
Marlon Brando,M,1924,85.15919032320492,28
Pepin the Short,M,715,85.15550005075046,16
Audrey Hepburn,F,1929,85.15484382012744,28
Bertolt Brecht,M,1898,85.13442525124438,27
Zheng He,M,1387,85.12539447745824,22
Murad III,M,1546,85.1152994178369,24
Yasser Arafat,M,1929,85.11187746602118,28
Hieronymus Bosch,M,1450,85.10578097912735,23
Karl Dönitz,M,1891,85.10503248464234,27
Mark Antony,M,-83,85.10257154126681,8
Jane Austen,F,1775,85.09224536334351,26
Nikolai Gogol,M,1809,85.08884781751986,27
Michel de Montaigne,M,1533,85.08877514609159,24
Charles Manson,M,1934,85.08412764035742,28
Gustave Flaubert,M,1821,85.0798572605323,27
Kim Jong-il,M,1941,85.07852549900379,28
Gian Lorenzo Bernini,M,1598,85.04242734494242,24
James Prescott Joule,M,1818,85.03874726965759,27
Jean Piaget,M,1896,85.02610870200547,27
Charles Martel,M,688,85.0148189979333,15
Wassily Kandinsky,M,1866,85.00649241082674,27
Gioachino Rossini,M,1792,85.00321092316317,26
Felix Mendelssohn,M,1809,84.996717446197,27
André-Marie Ampère,M,1775,84.98487313372966,26
Uthman,M,574,84.9731289633117,14
Hokusai,M,1760,84.96793695113843,26
Wallis Simpson,F,1896,84.96189963892999,27
Adolf Eichmann,M,1906,84.93737184201369,28
Stanley Kubrick,M,1928,84.931212877007,28
Harald Fairhair,M,850,84.92351912197232,17
Bertrand Russell,M,1872,84.9009990432891,27
Auguste Rodin,M,1840,84.89234408651913,27
Ernest Rutherford,M,1871,84.87914074168663,27
Marcus Licinius Crassus,M,-115,84.86384881359109,7
Hayao Miyazaki,M,1941,84.84392888159063,28
Tycho Brahe,M,1546,84.82857945223881,24
Angela Merkel,F,1954,84.8205284911941,28
Amitabh Bachchan,M,1942,84.81734209279242,28
Ludwig Wittgenstein,M,1889,84.81500968561855,27
Anthony Hopkins,M,1937,84.80853035613582,28
"Joseph II, Holy Roman Emperor",M,1741,84.78866695049386,26
Pierre de Coubertin,M,1863,84.77639930046291,27
Stefan Zweig,M,1881,84.77009890488122,27
Andy Warhol,M,1928,84.76908947739838,28
James Clerk Maxwell,M,1831,84.76215893803766,27
"Otto I, Holy Roman Emperor",M,912,84.75447378079254,18
Henry V of England,M,1386,84.75002137211399,22
Queen Elizabeth The Queen Mother,F,1900,84.74713793248718,28
Clovis I,M,466,84.74469010793761,13
Maria Montessori,F,1870,84.74268270470169,27
Robert De Niro,M,1943,84.73577521545765,28
Louis XIII of France,M,1601,84.73559814428458,25
Henry Ford,M,1863,84.73360202611815,27
Ignaz Semmelweis,M,1818,84.70772139275009,27
Kösem Sultan,F,1590,84.69074337192734,24
Ignatius of Loyola,M,1491,84.67678927426012,23
John Wilkes Booth,M,1838,84.66786737730017,27
William Wallace,M,1270,84.66054517400417,21
Baba Vanga,F,1911,84.65467521411695,28
Edward Jenner,M,1749,84.65206863097777,26
Anthony of Padua,M,1195,84.6497865855987,20
Chiang Kai-shek,M,1887,84.6474582878027,27
Vespasian,M,9,84.64166081649881,9
Cardinal Richelieu,M,1585,84.63853835304369,24
Pope Gregory I,M,540,84.62264508245875,14
Phidias,M,-490,84.6223687641747,4
Piet Mondrian,M,1872,84.61770141739444,27
Henry Dunant,M,1828,84.61449234414306,27
Parmenides,M,-501,84.61191871273914,3
Oskar Schindler,M,1908,84.57220778277627,28
Thucydides,M,-460,84.55994403898168,4
Luciano Pavarotti,M,1935,84.54640093106929,28
Edgar Degas,M,1834,84.54229911021365,27
John Dalton,M,1766,84.53875794522888,26
Sappho,F,-630,84.53201648956038,2
Maxim Gorky,M,1868,84.52906261464734,27
Georges Bizet,M,1838,84.52399955597687,27
Janis Joplin,F,1943,84.51825170115752,28
Alfred the Great,M,849,84.51141518539747,17
Mimar Sinan,M,1490,84.51109227888638,23
Bartholomew the Apostle,M,-100,84.50830438929208,8
Karl Benz,M,1844,84.50489200243595,27
Umberto Eco,M,1932,84.50029099977783,28
Origen,M,185,84.49781425554765,10
Robert Hooke,M,1635,84.49296632259859,25
Lord Byron,M,1788,84.48484022561803,26
Pierre de Fermat,M,1601,84.48134937211567,25
Thomas More,M,1478,84.46926580239229,23
Sean Connery,M,1930,84.46229816579758,28
